Continent,Num_Cities_2011_2040,Total_Pop_2011_2040,Mean_Pop_per_City_2011_2040,Num_Cities_2041_2070,Total_Pop_2041_2070,Mean_Pop_per_City_2041_2070,Num_Cities_2071_2100,Total_Pop_2071_2100,Mean_Pop_per_City_2071_2100
North America,0.0,0.0,0.0,1.0,1231983.6889648438,1231983.6889648438,2.0,2045527.9247794151,1022763.9623897076
Africa,8.0,7895239.093048096,986904.886631012,16.0,58615062.090206146,3663441.380637884,28.0,83243106.05903935,2972968.0735371197
Asia,6.0,4146611.1102752686,691101.8517125448,26.0,65173207.672888756,2506661.8335726443,116.0,344473792.8981757,2969601.662915308
South America,0.0,0.0,0.0,6.0,5806064.350509763,967677.3917516271,17.0,16310468.350954533,959439.3147620313
Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
