Continent,Num_Cities_2011_2040,Total_Pop_2011_2040,Mean_Pop_per_City_2011_2040,Num_Cities_2041_2070,Total_Pop_2041_2070,Mean_Pop_per_City_2041_2070,Num_Cities_2071_2100,Total_Pop_2071_2100,Mean_Pop_per_City_2071_2100
North America,1.0,851005.2409667969,851005.2409667969,2.0,1093629.0959048271,546814.5479524136,2.0,660238.6156828403,330119.3078414202
Africa,21.0,13361726.898591876,636272.709456756,30.0,57476238.33198285,1915874.611066095,30.0,44009312.41412926,1466977.0804709753
Asia,121.0,187164212.9356103,1546811.677153804,143.0,290409777.69834185,2030837.6062821108,145.0,243087009.2961166,1676462.1330766662
South America,15.0,12127832.180858493,808522.1453905662,20.0,13563777.634520233,678188.8817260116,20.0,10699394.665300548,534969.7332650274
Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
