Continent,Num_Cities_2011_2040,Total_Pop_2011_2040,Mean_Pop_per_City_2011_2040,Num_Cities_2041_2070,Total_Pop_2041_2070,Mean_Pop_per_City_2041_2070,Num_Cities_2071_2100,Total_Pop_2071_2100,Mean_Pop_per_City_2071_2100
North America,16.0,10217743.31307602,638608.9570672512,19.0,10161164.067495883,534798.1088155728,18.0,10076244.297559679,559791.3498644265
Africa,78.0,93554488.12750113,1199416.5144551427,75.0,159827629.85731864,2131035.0647642487,76.0,161207327.7819438,2121149.0497624185
Asia,237.0,339617232.6494312,1432984.104006039,249.0,457239621.0388651,1836303.6989512653,251.0,381962967.55885196,1521764.810991442
South America,33.0,26372908.421257377,799179.0430684054,35.0,26199016.07759589,748543.3165027397,33.0,18326126.729066312,555337.1736080701
Oceania,1.0,193395.00623321533,193395.00623321533,1.0,389398.05406188965,389398.05406188965,1.0,340817.3084869385,340817.3084869385
Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
