Continent,Median,Percentile_25,Percentile_75
Africa,2.7180489731437625,2.3408415841584223,3.2400611620795168
Asia,3.816896845306953,3.047895161290321,4.10338909020934
Europe,4.145671521035597,3.5517688679245296,4.685650143678163
North America,4.020147907647907,3.4538678165257686,4.663017843112087
Oceania,2.8869345037137073,2.6830097087378633,2.95995145631068
South America,3.2547313935373623,2.8325575283430933,3.638065290507214
