Continent,Num_Cities_2011_2040,Total_Pop_2011_2040,Mean_Pop_per_City_2011_2040,Num_Cities_2041_2070,Total_Pop_2041_2070,Mean_Pop_per_City_2041_2070,Num_Cities_2071_2100,Total_Pop_2071_2100,Mean_Pop_per_City_2071_2100
North America,1.0,906315.6859130862,906315.6859130862,8.0,5995151.636694193,749393.9545867741,16.0,12082354.628665984,755147.164291624
Africa,20.0,12381717.892550468,619085.8946275234,51.0,183780121.05353045,3603531.785363342,56.0,269301469.9275253,4808954.82013438
Asia,119.0,186867049.7956369,1570311.3428204781,141.0,392077240.5890641,2780689.649567831,115.0,335669659.949708,2918866.6082583303
South America,17.0,14962990.23563528,880175.89621384,20.0,20174986.545366704,1008749.3272683353,17.0,21355378.328050375,1256198.7251794338
Oceania,0.0,0.0,0.0,1.0,638953.8646240234,638953.8646240234,1.0,682055.5748291016,682055.5748291016
Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
