Continent,Num_Cities_2011_2040,Total_Pop_2011_2040,Mean_Pop_per_City_2011_2040,Num_Cities_2041_2070,Total_Pop_2041_2070,Mean_Pop_per_City_2041_2070,Num_Cities_2071_2100,Total_Pop_2071_2100,Mean_Pop_per_City_2071_2100
North America,0.0,0.0,0.0,1.0,343944.9967651367,343944.9967651367,4.0,731886.7752456069,182971.69381140172
Africa,10.0,10946207.173225403,1094620.7173225402,13.0,29348483.1776191,2257575.629047623,26.0,39719927.719086766,1527689.5276571834
Asia,6.0,4003896.9541931152,667316.1590321859,36.0,68844562.8155241,1912348.9670978917,164.0,269754636.10470843,1644845.3421018806
South America,1.0,2041721.6443901062,2041721.6443901062,7.0,6435462.703268409,919351.8147526298,21.0,12051401.627657712,573876.2679837005
Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
