Continent,Num_Cities_2011_2040,Total_Pop_2011_2040,Mean_Pop_per_City_2011_2040,Num_Cities_2041_2070,Total_Pop_2041_2070,Mean_Pop_per_City_2041_2070,Num_Cities_2071_2100,Total_Pop_2071_2100,Mean_Pop_per_City_2071_2100
North America,18.0,11123636.128454447,617979.7849141359,28.0,24563258.68121791,877259.2386149253,41.0,42919879.37462652,1046826.3262104029
Africa,75.0,87112965.24843931,1161506.2033125241,78.0,154924212.93095112,1986207.8580891169,73.0,172750488.29592276,2366445.0451496267
Asia,232.0,335522155.16435075,1446216.186053236,245.0,436841919.09117794,1783028.2411884815,177.0,259280619.8526647,1464862.2590546028
South America,34.0,26672241.594088495,784477.6939437792,35.0,29818765.65494412,851964.7329984035,30.0,15889441.864177227,529648.0621392409
Oceania,1.0,193391.3396606445,193391.3396606445,1.0,394901.0436706543,394901.0436706543,1.0,348176.2617797852,348176.2617797852
Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
