Continent,Num_Cities_2011_2040,Total_Pop_2011_2040,Mean_Pop_per_City_2011_2040,Num_Cities_2041_2070,Total_Pop_2041_2070,Mean_Pop_per_City_2041_2070,Num_Cities_2071_2100,Total_Pop_2071_2100,Mean_Pop_per_City_2071_2100
North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,8.0,7574588.667633057,946823.5834541321,14.0,31031769.638281822,2216554.9741629874,11.0,27672786.827316284,2515707.8933923896
Asia,8.0,4747362.93346405,593420.3666830063,14.0,35512026.70051098,2536573.3357507843,16.0,29750073.965085983,1859379.622817874
South America,1.0,2040200.3691329956,2040200.3691329956,2.0,2675235.5105133057,1337617.7552566528,2.0,1895042.1568069458,947521.0784034729
Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
