Continent,Median,Percentile_25,Percentile_75
Africa,2.6118110236220495,2.350471698113207,2.8661443494776826
Asia,2.571031634135326,2.225056306306311,3.008800069548585
Europe,3.409404761904762,2.7917512690355313,4.004181084198387
North America,3.329561096471246,2.785891135494211,3.778278406480402
Oceania,2.5690091965989943,2.3943437574034583,2.7001618122977344
South America,2.7173056061789485,2.429608153686024,3.0895925093632943
